danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0.59,0.663,7,-9.224,1,0.0315,0.141,0.0,0.0935,0.639,113.443,audio_features,5zNf8MI40Us66R3zutaxvt,spotify:track:5zNf8MI40Us66R3zutaxvt,https://api.spotify.com/v1/tracks/5zNf8MI40Us66R3zutaxvt,https://api.spotify.com/v1/audio-analysis/5zNf8MI40Us66R3zutaxvt,225840,4,18
0.572,0.721,5,-8.959,1,0.0402,0.187,7.41e-06,0.216,0.844,164.252,audio_features,05fHQeRbCSjKVS6z0WbQKJ,spotify:track:05fHQeRbCSjKVS6z0WbQKJ,https://api.spotify.com/v1/tracks/05fHQeRbCSjKVS6z0WbQKJ,https://api.spotify.com/v1/audio-analysis/05fHQeRbCSjKVS6z0WbQKJ,267000,4,17
0.608,0.864,8,-7.101,1,0.0522,0.0444,3.49e-06,0.0341,0.947,131.199,audio_features,1GVnAD8Iz45rux6EC657Yv,spotify:track:1GVnAD8Iz45rux6EC657Yv,https://api.spotify.com/v1/tracks/1GVnAD8Iz45rux6EC657Yv,https://api.spotify.com/v1/audio-analysis/1GVnAD8Iz45rux6EC657Yv,167960,4,18
0.855,0.482,1,-8.902,1,0.0576,0.252,2.2e-05,0.151,0.795,97.792,audio_features,3ErsOxqe2RmXkR65wkygDz,spotify:track:3ErsOxqe2RmXkR65wkygDz,https://api.spotify.com/v1/tracks/3ErsOxqe2RmXkR65wkygDz,https://api.spotify.com/v1/audio-analysis/3ErsOxqe2RmXkR65wkygDz,230240,4,2
0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,audio_features,0BCPKOYdS2jbQ8iyB56Zns,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/tracks/0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/audio-analysis/0BCPKOYdS2jbQ8iyB56Zns,307880,4,12
0.638,0.352,10,-9.266,1,0.0268,0.492,0.0,0.105,0.204,94.173,audio_features,7DFawVSjI88xR9mjnWwURg,spotify:track:7DFawVSjI88xR9mjnWwURg,https://api.spotify.com/v1/tracks/7DFawVSjI88xR9mjnWwURg,https://api.spotify.com/v1/audio-analysis/7DFawVSjI88xR9mjnWwURg,204000,3,16
0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,audio_features,3AJwUDP919kvQ9QcozQPxg,spotify:track:3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4,3
0.482,0.472,4,-5.802,1,0.0336,0.261,5.08e-05,0.17,0.299,138.705,audio_features,5ujavRJ7Mdjg8IEUoWlLCo,spotify:track:5ujavRJ7Mdjg8IEUoWlLCo,https://api.spotify.com/v1/tracks/5ujavRJ7Mdjg8IEUoWlLCo,https://api.spotify.com/v1/audio-analysis/5ujavRJ7Mdjg8IEUoWlLCo,300827,4,11
0.389,0.767,2,-4.314,1,0.149,0.00127,0.0,0.435,0.544,184.926,audio_features,0SLOiJClXkAZluClYpke95,spotify:track:0SLOiJClXkAZluClYpke95,https://api.spotify.com/v1/tracks/0SLOiJClXkAZluClYpke95,https://api.spotify.com/v1/audio-analysis/0SLOiJClXkAZluClYpke95,196760,4,17
0.616,0.636,1,-7.055,1,0.0325,0.208,0.0,0.517,0.654,110.618,audio_features,1tdltVUBkiBCW1C3yB4zyD,spotify:track:1tdltVUBkiBCW1C3yB4zyD,https://api.spotify.com/v1/tracks/1tdltVUBkiBCW1C3yB4zyD,https://api.spotify.com/v1/audio-analysis/1tdltVUBkiBCW1C3yB4zyD,159160,4,13
0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,audio_features,4BP3uh0hFLFRb5cjsgLqDh,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,https://api.spotify.com/v1/tracks/4BP3uh0hFLFRb5cjsgLqDh,https://api.spotify.com/v1/audio-analysis/4BP3uh0hFLFRb5cjsgLqDh,140773,4,2
0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,audio_features,20OFwXhEXf12DzwXmaV7fj,spotify:track:20OFwXhEXf12DzwXmaV7fj,https://api.spotify.com/v1/tracks/20OFwXhEXf12DzwXmaV7fj,https://api.spotify.com/v1/audio-analysis/20OFwXhEXf12DzwXmaV7fj,141600,4,17
0.743,0.47,0,-13.154,1,0.029,0.0936,3.15e-05,0.186,0.89,116.122,audio_features,5DnT9a5IM3eMjKgXTWVJvi,spotify:track:5DnT9a5IM3eMjKgXTWVJvi,https://api.spotify.com/v1/tracks/5DnT9a5IM3eMjKgXTWVJvi,https://api.spotify.com/v1/audio-analysis/5DnT9a5IM3eMjKgXTWVJvi,160333,4,2
0.745,0.656,10,-6.393,1,0.0405,0.188,0.00337,0.0941,0.858,105.318,audio_features,3RTUfvRgq3pYTf7XY0FIcS,spotify:track:3RTUfvRgq3pYTf7XY0FIcS,https://api.spotify.com/v1/tracks/3RTUfvRgq3pYTf7XY0FIcS,https://api.spotify.com/v1/audio-analysis/3RTUfvRgq3pYTf7XY0FIcS,152453,4,18
0.678,0.386,9,-15.991,1,0.0464,0.0686,0.109,0.108,0.552,117.303,audio_features,5bUlFE9dGh7pX93PUEVAue,spotify:track:5bUlFE9dGh7pX93PUEVAue,https://api.spotify.com/v1/tracks/5bUlFE9dGh7pX93PUEVAue,https://api.spotify.com/v1/audio-analysis/5bUlFE9dGh7pX93PUEVAue,314667,4,9
0.631,0.793,1,-4.086,0,0.0468,0.000218,5.65e-05,0.0976,0.648,136.96,audio_features,4m9NfjevXsDVaLtM1kj0Sx,spotify:track:4m9NfjevXsDVaLtM1kj0Sx,https://api.spotify.com/v1/tracks/4m9NfjevXsDVaLtM1kj0Sx,https://api.spotify.com/v1/audio-analysis/4m9NfjevXsDVaLtM1kj0Sx,189373,4,14
0.775,0.866,9,-3.598,1,0.0295,0.135,0.0376,0.152,0.875,131.338,audio_features,15ob9SMGLWrexuPuyuMjKl,spotify:track:15ob9SMGLWrexuPuyuMjKl,https://api.spotify.com/v1/tracks/15ob9SMGLWrexuPuyuMjKl,https://api.spotify.com/v1/audio-analysis/15ob9SMGLWrexuPuyuMjKl,295067,4,18
0.418,0.452,1,-13.099,1,0.0355,0.638,0.000252,0.0959,0.168,175.124,audio_features,54b8qPFqYqIndfdxiLApea,spotify:track:54b8qPFqYqIndfdxiLApea,https://api.spotify.com/v1/tracks/54b8qPFqYqIndfdxiLApea,https://api.spotify.com/v1/audio-analysis/54b8qPFqYqIndfdxiLApea,218733,4,6
0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145,audio_features,4KfSdst7rW39C0sfhArdrz,spotify:track:4KfSdst7rW39C0sfhArdrz,https://api.spotify.com/v1/tracks/4KfSdst7rW39C0sfhArdrz,https://api.spotify.com/v1/audio-analysis/4KfSdst7rW39C0sfhArdrz,261933,4,5
0.435,0.459,9,-12.442,0,0.0329,0.117,0.000103,0.132,0.383,129.929,audio_features,5zH710lFSLtkHbMkslLDjR,spotify:track:5zH710lFSLtkHbMkslLDjR,https://api.spotify.com/v1/tracks/5zH710lFSLtkHbMkslLDjR,https://api.spotify.com/v1/audio-analysis/5zH710lFSLtkHbMkslLDjR,293440,4,4
0.534,0.532,11,-9.865,1,0.0292,0.509,0.0,0.0868,0.3,79.103,audio_features,22wWxHGHRH8gZXNDXRgSqY,spotify:track:22wWxHGHRH8gZXNDXRgSqY,https://api.spotify.com/v1/tracks/22wWxHGHRH8gZXNDXRgSqY,https://api.spotify.com/v1/audio-analysis/22wWxHGHRH8gZXNDXRgSqY,254476,4,16
0.626,0.746,7,-8.832,1,0.0282,0.16,0.0,0.0618,0.8,102.896,audio_features,5YjKdeES9QRJ8NmF4Xc8pV,spotify:track:5YjKdeES9QRJ8NmF4Xc8pV,https://api.spotify.com/v1/tracks/5YjKdeES9QRJ8NmF4Xc8pV,https://api.spotify.com/v1/audio-analysis/5YjKdeES9QRJ8NmF4Xc8pV,310893,4,18
